Регион,Год,Заболеваемость_инфекции_на_1000,Коэффициент_смертности_населения,Численность_населения,Оборотная_вода_млн_м3
Чувашская Республика — Чувашия,2021,23.2,17.2,1183.9,415.36
Пермский край,2021,26.4,17.4,2525.1,2099.43
Кировская область,2021,17.5,20.9,1149.2,990.71
Нижегородская область,2021,20.6,20.1,3108.9,1606.3
Оренбургская область,2021,14.9,19.5,1855.8,1934.96
Пензенская область,2021,19.7,20.1,1261.1,66.32
Самарская область,2021,24.9,18.2,3164.4,3548.1
Саратовская область,2021,18.2,19.7,2431.0,7445.27
Ульяновская область,2021,19.5,19.8,1191.7,560.53
Курганская область,2021,36.1,21.3,772.3,219.67
Свердловская область,2021,24.2,18.0,4263.7,10044.64
Тюменская область,2021,25.9,10.3,3827.7,9748.5
Ханты-Мансийский автономный округ — Югра,2021,27.8,8.5,1713.8,7731.92
Ямало-Ненецкий автономный округ,2021,33.5,6.8,511.2,316.6
Челябинская область,2021,28.1,17.6,3421.6,7748.0
Республика Алтай,2021,36.4,13.5,210.8,6.74
Республика Тыва,2021,35.9,8.9,336.2,9.8
Республика Хакасия,2021,19.3,15.9,533.0,583.22
Алтайский край,2021,19.4,20.1,2155.0,796.11
Красноярский край,2021,17.7,16.4,2856.4,2580.86
Иркутская область,2021,27.4,17.7,2363.4,2599.52
Кемеровская область — Кузбасс,2021,26.3,18.3,2592.0,4436.52
Новосибирская область,2021,24.7,16.9,2797.5,864.5
Омская область,2021,26.7,18.1,1851.5,693.82
Томская область,2021,18.7,15.6,1062.7,667.31
Республика Бурятия,2021,13.7,13.8,978.0,292.38
Республика Саха (Якутия),2021,17.9,10.6,997.8,1328.78
Забайкальский край,2021,14.7,16.4,1000.5,1281.9
Камчатский край,2021,29.3,15.3,292.6,9.41
Приморский край,2021,27.2,17.2,1841.9,1915.99
Хабаровский край,2021,26.6,16.9,1292.8,1542.34
Амурская область,2021,20.0,18.7,763.6,1687.05
Магаданская область,2021,18.7,15.2,135.9,400.87
Сахалинская область,2021,30.9,16.2,466.0,164.02
Еврейская автономная область,2021,30.7,18.5,149.6,19.2
Чукотский автономный округ,2021,20.1,11.31,47.9,144.95
Белгородская область,2022,21.3,14.2,1514.5,1749.36
Брянская область,2022,23.0,15.6,1152.5,20.2
Владимирская область,2022,22.9,16.8,1325.5,328.86
Воронежская область,2022,11.8,15.3,2285.3,4982.51
Ивановская область,2022,25.7,17.3,914.7,134.32
Калужская область,2022,21.1,14.2,1070.9,155.11
Костромская область,2022,17.1,17.1,571.9,750.05
Курская область,2022,11.5,16.2,1067.0,4657.41
Липецкая область,2022,17.6,15.2,1126.3,2018.69
Московская область,2022,19.1,11.7,8591.7,2471.16
Орловская область,2022,23.0,17.2,700.3,972.85
Рязанская область,2022,22.8,16.1,1088.9,1121.87
Смоленская область,2022,15.7,16.8,873.0,4827.47
Тамбовская область,2022,16.3,16.8,966.3,180.86
Тверская область,2022,22.5,17.9,1211.2,6806.81
Тульская область,2022,15.7,16.6,1481.5,2117.65
Ярославская область,2022,22.4,16.2,1194.6,300.94
г. Москва,2022,19.8,9.7,13104.2,4695.31
Республика Карелия,2022,69.3,18.2,527.9,1078.26
Республика Коми,2022,41.7,14.3,726.5,1337.19
Архангельская область,2022,42.1,15.5,1005.7,915.11
Ненецкий автономный округ,2022,45.6,10.7,41.4,13.92
Вологодская область,2022,27.9,14.5,1128.7,4457.82
Калининградская область,2022,28.3,12.7,1032.3,483.1
Ленинградская область,2022,16.5,12.9,2023.8,3252.91
Мурманская область,2022,29.7,13.2,658.7,1025.41
Новгородская область,2022,24.5,17.1,575.9,1104.47
Псковская область,2022,23.1,18.3,587.8,2.84
г. Санкт-Петербург,2022,32.5,11.6,5600.0,713.5
Республика Адыгея (Адыгея),2022,14.3,12.3,498.0,27.66
Республика Калмыкия,2022,16.7,10.4,264.5,0.17
Краснодарский край,2022,15.4,13.5,5819.3,1544.44
Астраханская область,2022,13.2,12.7,950.6,503.19
Волгоградская область,2022,17.6,13.7,2470.1,1308.96
Ростовская область,2022,15.5,14.4,4164.5,6465.23
Республика Дагестан,2022,20.1,5.1,3209.8,7.71
Республика Ингушетия,2022,17.4,3.4,519.1,0.0
Кабардино-Балкарская Республика,2022,5.2,8.7,903.3,3.57
Карачаево-Черкесская Республика,2022,14.9,9.4,468.4,26.98
Республика Северная Осетия — Алания,2022,17.8,11.2,680.7,0.24
Чеченская Республика,2022,9.3,4.9,1533.2,0.0
Ставропольский край,2022,26.2,11.6,2891.2,868.69
Республика Башкортостан,2022,28.6,11.9,4077.6,5399.77
Республика Марий Эл,2022,20.0,12.8,672.3,214.09
Республика Мордовия,2022,11.9,14.4,771.4,158.25
Республика Татарстан (Татарстан),2022,21.5,11.2,4001.6,5362.48
Удмуртская Республика,2022,31.8,12.6,1442.2,385.12
Чувашская Республика — Чувашия,2022,24.1,13.3,1173.2,412.65
Пермский край,2022,28.3,13.9,2508.4,2140.76
Кировская область,2022,20.9,16.6,1138.1,1027.49
Нижегородская область,2022,21.7,15.5,3081.8,1532.1
Оренбургская область,2022,20.0,13.8,1841.4,1945.54
Пензенская область,2022,21.7,15.6,1246.6,69.68
Самарская область,2022,25.9,14.2,3142.7,3327.12
Саратовская область,2022,17.4,14.3,2404.9,7806.59
Ульяновская область,2022,20.7,15.1,1181.0,635.8
Курганская область,2022,50.7,16.4,761.6,249.66
Свердловская область,2022,28.5,13.9,4239.1,9548.07
Тюменская область,2022,28.4,8.1,3851.3,10005.42
Ханты-Мансийский автономный округ — Югра,2022,28.8,6.5,1730.4,7930.4
Ямало-Ненецкий автономный округ,2022,47.2,5.5,512.4,334.57
Челябинская область,2022,26.5,13.3,3407.1,7509.1
Республика Алтай,2022,34.0,11.6,210.8,14.18
Республика Тыва,2022,38.0,8.6,337.3,8.86
Республика Хакасия,2022,20.3,13.3,530.2,622.27
Алтайский край,2022,18.8,15.8,2130.9,831.42
Красноярский край,2022,19.3,13.4,2845.5,3276.04
Иркутская область,2022,29.6,14.1,2344.4,2659.41
Кемеровская область — Кузбасс,2022,26.8,14.9,2568.2,4107.36
Новосибирская область,2022,25.5,13.7,2794.3,975.22
Омская область,2022,24.5,14.1,1832.1,742.47
Томская область,2022,32.5,12.1,1052.1,696.0
Республика Бурятия,2022,17.7,12.2,974.6,319.96
Республика Саха (Якутия),2022,20.2,8.3,997.6,1264.88
Забайкальский край,2022,14.9,13.8,992.4,1230.14
Камчатский край,2022,27.9,13.2,288.7,9.26
Приморский край,2022,35.9,15.0,1820.1,2080.37
Хабаровский край,2022,28.1,14.0,1284.1,1530.92
Амурская область,2022,17.6,14.8,756.2,2618.91
Магаданская область,2022,25.6,12.7,134.3,420.24
Сахалинская область,2022,33.1,13.8,460.6,148.55
Еврейская автономная область,2022,36.2,15.2,147.5,20.27
Чукотский автономный округ,2022,24.3,10.2,47.8,187.3
Белгородская область,2023,22.0,13.4,1500.7,1575.0
Брянская область,2023,26.400000000000002,14.3,1142.4,20.0
Владимирская область,2023,24.700000000000003,15.5,1309.9,321.0
Воронежская область,2023,10.0,14.3,2273.4,5029.0
Ивановская область,2023,12.4,16.1,905.9,134.0
Калужская область,2023,24.700000000000003,13.2,1068.4,156.0
Костромская область,2023,20.5,15.5,566.3,749.0
Курская область,2023,13.5,14.5,1060.9,4615.0
Липецкая область,2023,18.5,14.4,1116.3,2285.0
Московская область,2023,22.400000000000002,11.0,8651.3,2474.0
Орловская область,2023,22.8,15.7,692.5,972.0
Рязанская область,2023,27.1,14.8,1082.2,1450.0
Смоленская область,2023,15.0,15.2,864.0,4870.0
Тамбовская область,2023,17.1,15.5,956.3,185.0
Тверская область,2023,21.900000000000002,16.3,1199.7,6910.0
Тульская область,2023,15.700000000000001,15.2,1471.1,2009.0
Ярославская область,2023,24.200000000000003,14.9,1187.6,314.0
г. Москва,2023,21.400000000000002,8.8,13149.8,4593.0
Республика Карелия,2023,79.2,16.5,523.9,1075.0
Республика Коми,2023,42.300000000000004,13.4,720.6,1406.0
Архангельская область,2023,43.7,14.1,998.1,817.0
Ненецкий автономный округ,2023,59.2,10.5,42.2,14.0
Вологодская область,2023,29.200000000000003,13.8,1121.4,4688.0
Калининградская область,2023,36.0,11.8,1033.9,484.0
Ленинградская область,2023,17.3,11.4,2035.8,3007.0
Мурманская область,2023,34.2,12.7,656.4,922.0
Новгородская область,2023,24.0,16.1,571.4,1159.0
Псковская область,2023,26.900000000000002,17.0,581.1,3.0
г. Санкт-Петербург,2023,36.300000000000004,10.7,5597.8,709.0
Республика Адыгея (Адыгея),2023,14.9,10.5,500.6,28.0
Республика Калмыкия,2023,20.0,9.5,266.8,0.2
Краснодарский край,2023,14.100000000000001,12.3,5833.0,371.0
Астраханская область,2023,14.3,11.8,946.4,1860.0
Волгоградская область,2023,16.5,12.8,2453.9,6122.0
Ростовская область,2023,10.600000000000001,13.0,4152.5,190.0
Республика Дагестан,2023,18.900000000000002,4.5,3232.2,7.0
Республика Ингушетия,2023,17.2,3.2,527.2,0.0
Кабардино-Балкарская Республика,2023,6.300000000000001,7.5,905.5,4.0
Карачаево-Черкесская Республика,2023,24.5,8.4,468.3,26.0
Республика Северная Осетия — Алания,2023,16.0,9.5,678.9,0.4
Чеченская Республика,2023,8.9,4.3,1552.9,0.0
Ставропольский край,2023,27.900000000000002,10.8,2886.1,794.0
Республика Башкортостан,2023,32.0,11.7,4064.3,5398.0
Республика Марий Эл,2023,20.3,12.5,669.8,204.0
Республика Мордовия,2023,10.600000000000001,13.3,765.9,241.0
Республика Татарстан (Татарстан),2023,22.3,10.8,4003.0,5195.0
Удмуртская Республика,2023,31.200000000000003,12.3,1434.6,358.0
Чувашская Республика — Чувашия,2023,21.700000000000003,12.5,1167.1,390.0
Пермский край,2023,24.700000000000003,13.3,2495.3,2201.0
Кировская область,2023,19.5,15.1,1129.9,963.0
Нижегородская область,2023,22.5,14.6,3060.3,1633.0
Оренбургская область,2023,17.5,13.7,1828.7,2010.0
Пензенская область,2023,22.400000000000002,14.8,1236.1,69.0
Самарская область,2023,26.200000000000003,13.5,3127.8,3344.0
Саратовская область,2023,16.0,13.6,2385.2,7533.0
Ульяновская область,2023,19.6,14.1,1172.8,622.0
Курганская область,2023,67.9,16.4,753.0,221.0
Свердловская область,2023,30.6,13.3,4222.7,9769.0
Тюменская область,2023,30.1,7.6,3890.8,9934.0
Ханты-Мансийский автономный округ — Югра,2023,29.700000000000003,6.2,1759.4,7910.0
Ямало-Ненецкий автономный округ,2023,49.7,5.5,516.0,338.0
Челябинская область,2023,26.3,12.8,3395.8,7849.0
Республика Алтай,2023,33.9,10.7,210.8,19.0
Республика Тыва,2023,38.0,8.9,337.5,7.0
Республика Хакасия,2023,25.200000000000003,12.7,528.2,612.0
Алтайский край,2023,18.8,14.4,2115.3,817.0
Красноярский край,2023,20.200000000000003,12.3,2846.1,3230.0
Иркутская область,2023,29.700000000000003,13.3,2330.5,2530.0
Кемеровская область — Кузбасс,2023,26.900000000000002,13.9,2547.7,4152.0
Новосибирская область,2023,33.0,12.8,2789.5,962.0
Омская область,2023,24.6,13.1,1818.1,798.0
Томская область,2023,26.5,11.4,1043.4,690.0
Республика Бурятия,2023,18.1,11.8,971.9,312.0
Республика Саха (Якутия),2023,23.8,7.8,1001.7,1296.0
Забайкальский край,2023,18.0,13.7,984.4,1373.0
Камчатский край,2023,42.800000000000004,11.8,288.9,10.0
Приморский край,2023,29.1,14.1,1806.4,1892.0
Хабаровский край,2023,26.3,13.3,1278.1,1524.0
Амурская область,2023,26.5,14.1,750.1,1327.0
Магаданская область,2023,23.6,12.1,133.4,410.0
Сахалинская область,2023,37.6,13.5,457.6,162.0
Еврейская автономная область,2023,34.9,14.3,145.8,20.0
Чукотский автономный округ,2023,25.200000000000003,10.1,48.0,227.0
Белгородская область,2000,,15.5,1507.0,1559.0
Брянская область,2000,,18.2,1407.9,102.0
Владимирская область,2000,,19.1,1558.0,412.0
Воронежская область,2000,,17.9,2422.4,2849.0
Ивановская область,2000,,20.8,1179.0,238.0
Калужская область,2000,,18.1,1060.3,144.0
Костромская область,2000,,18.9,754.0,201.0
Курская область,2000,,18.6,1266.4,5876.0
Липецкая область,2000,,16.5,1228.1,2159.0
Московская область,2000,,17,6613.5,3360.0
Орловская область,2000,,17.7,876.7,543.0
Рязанская область,2000,,19.3,1258.8,2491.0
Смоленская область,2000,,20,1082.2,4626.0
Тамбовская область,2000,,19,1213.6,279.0
Тверская область,2000,,21.6,1519.6,2274.0
Тульская область,2000,,21,1719.7,2846.0
Ярославская область,2000,,18,1393.7,549.0
г. Москва,2000,,13.1,10114.2,6005.0
Республика Карелия,2000,,16.5,728.8,816.0
Республика Коми,2000,,12.9,1042.9,1260.0
Архангельская область,2000,,16.3,1369.1,629.0
Ненецкий автономный округ,2000,,12.9,40.9,0.68
Вологодская область,2000,,16,1290.4,3655.0
Калининградская область,2000,,15.2,957.5,128.0
Ленинградская область,2000,,18.8,1680.4,1096.0
Мурманская область,2000,,11.6,922.9,983.0
Новгородская область,2000,,20.1,710.3,539.0
Псковская область,2000,,22.3,781.8,12.0
г. Санкт-Петербург,2000,,16.2,4714.8,610.0
Республика Адыгея (Адыгея),2000,,15,447.3,7.0
Республика Калмыкия,2000,,11.2,307.3,0.92
Краснодарский край,2000,,15.2,5132.8,1079.0
Астраханская область,2000,,14.3,1009.3,292.0
Волгоградская область,2000,,15.2,2725.4,1774.0
Ростовская область,2000,,15.2,4439.3,753.0
Республика Дагестан,2000,,6.5,2486.0,28.0
Республика Ингушетия,2000,,5.4,445.4,27.0
Кабардино-Балкарская Республика,2000,,10,886.7,24.0
Карачаево-Черкесская Республика,2000,,11.3,440.6,76.0
Республика Северная Осетия — Алания,2000,,12.3,704.4,33.0
Чеченская Республика,2000,,…,996.5,0.0
Ставропольский край,2000,,13.6,2740.9,937.0
Республика Башкортостан,2000,,13,4115.2,5611.0
Республика Марий Эл,2000,,14.9,739.1,149.0
Республика Мордовия,2000,,16.2,908.2,306.0
Республика Татарстан (Татарстан),2000,,13.1,3786.8,4917.0
Удмуртская Республика,2000,,13.7,1588.0,409.0
Чувашская Республика — Чувашия,2000,,14,1327.7,372.0
Пермский край,2000,,16.2,2858.6,1913.0
Кировская область,2000,,16.8,1536.8,1066.0
Нижегородская область,2000,,18.1,3594.5,1721.0
Оренбургская область,2000,,14.4,2203.6,1823.0
Пензенская область,2000,,17,1484.1,96.0
Самарская область,2000,,16.4,3275.8,3810.0
Саратовская область,2000,,16.4,2699.4,6612.0
Ульяновская область,2000,,15.6,1413.6,777.0
Курганская область,2000,,16.3,1047.1,484.0
Свердловская область,2000,,16.6,4545.9,12027.0
Тюменская область,2000,,9.3,3234.3,8665.0
Ханты-Мансийский автономный округ — Югра,2000,,6.9,1383.4,7571.0
Ямало-Ненецкий автономный округ,2000,,5.6,498.3,68.0
Челябинская область,2000,,15.5,3644.0,7359.0
Республика Алтай,2000,,13,203.0,11.0
Республика Тыва,2000,,13.6,305.7,20.0
Республика Хакасия,2000,,14.6,554.4,273.0
Алтайский край,2000,,14.3,2641.1,1216.0
Красноярский край,2000,,14.8,3000.9,3225.0
Иркутская область,2000,,15.5,2623.2,2444.0
Кемеровская область — Кузбасс,2000,,16.7,2942.3,4760.0
Новосибирская область,2000,,14.2,2715.1,1845.0
Омская область,2000,,13.5,2117.3,971.0
Томская область,2000,,13.2,1054.3,2451.0
Республика Бурятия,2000,,13.1,996.9,151.0
Республика Саха (Якутия),2000,,9.7,957.5,1142.0
Забайкальский край,2000,,14.5,1178.8,527.0
Камчатский край,2000,,11,366.4,57.0
Приморский край,2000,,13.9,2120.5,1970.0
Хабаровский край,2000,,14.1,1459.9,1379.0
Амурская область,2000,,14.6,923.0,914.0
Магаданская область,2000,,11.8,193.9,412.0
Сахалинская область,2000,,13.4,560.1,102.0
Еврейская автономная область,2000,,14.5,193.2,23.0
Чукотский автономный округ,2000,,9.6,57.5,204.0
Белгородская область,2001,,16.1,1508.1,1575.0
Брянская область,2001,,17.9,1391.4,95.0
Владимирская область,2001,,19.7,1539.2,423.0
Воронежская область,2001,,18.3,2397.1,2863.0
Ивановская область,2001,,20.7,1161.9,177.0
Калужская область,2001,,18.3,1049.6,141.0
Костромская область,2001,,19.9,743.9,210.0
Курская область,2001,,18.7,1248.6,4875.0
Липецкая область,2001,,17.1,1220.5,2121.0
Московская область,2001,,17.8,6609.2,3487.0
Орловская область,2001,,18,867.6,27.0
Рязанская область,2001,,19.9,1241.0,2214.0
Смоленская область,2001,,20.6,1063.3,4874.0
Тамбовская область,2001,,18.8,1193.4,275.0
Тверская область,2001,,22.9,1491.4,2189.0
Тульская область,2001,,21.5,1694.0,2871.0
Ярославская область,2001,,19.6,1378.4,622.0
г. Москва,2001,,13.2,10269.9,6268.0
Республика Карелия,2001,,17.4,721.5,821.0
Республика Коми,2001,,13.5,1029.7,1342.0
Архангельская область,2001,,16.2,1350.5,682.0
Ненецкий автономный округ,2001,,13.7,40.9,0.49
Вологодская область,2001,,17.4,1278.5,3610.0
Калининградская область,2001,,16.1,955.4,155.0
Ленинградская область,2001,,19.9,1672.7,1178.0
Мурманская область,2001,,12.2,905.7,989.0
Новгородская область,2001,,21.3,700.9,549.0
Псковская область,2001,,22.8,769.7,15.0
г. Санкт-Петербург,2001,,16.2,4688.4,597.0
Республика Адыгея (Адыгея),2001,,14.7,446.6,32.0
Республика Калмыкия,2001,,11.1,297.6,0.91
Краснодарский край,2001,,15.1,5131.6,870.0
Астраханская область,2001,,14.6,1005.5,289.0
Волгоградская область,2001,,15.6,2709.6,1799.0
Ростовская область,2001,,15.6,4417.7,1863.0
Республика Дагестан,2001,,6.1,2536.1,27.0
Республика Ингушетия,2001,,4.2,455.5,29.0
Кабардино-Балкарская Республика,2001,,9.9,894.3,24.0
Карачаево-Черкесская Республика,2001,,11.2,439.8,74.0
Республика Северная Осетия — Алания,2001,,11.6,709.6,35.0
Чеченская Республика,2001,,…,1072.9,0.0
Ставропольский край,2001,,13.7,2736.2,924.0
Республика Башкортостан,2001,,13.4,4108.3,5442.0
Республика Марий Эл,2001,,15.5,732.8,148.0
Республика Мордовия,2001,,15.7,897.1,276.0
Республика Татарстан (Татарстан),2001,,13.2,3781.9,4789.0
Удмуртская Республика,2001,,14.4,1578.2,412.0
Чувашская Республика — Чувашия,2001,,14.3,1319.5,357.0
Пермский край,2001,,16.5,2837.1,2010.0
Кировская область,2001,,17,1518.4,1029.0
Нижегородская область,2001,,18.7,3554.7,1764.0
Оренбургская область,2001,,14.7,2189.9,1823.0
Пензенская область,2001,,16.7,1466.2,88.0
Самарская область,2001,,16.4,3254.0,3998.0
Саратовская область,2001,,16.3,2682.0,6875.0
Ульяновская область,2001,,15.8,1395.9,894.0
Курганская область,2001,,16.4,1030.7,406.0
Свердловская область,2001,,16.1,4514.1,11740.0
Тюменская область,2001,,9.6,3251.5,8164.0
Ханты-Мансийский автономный округ — Югра,2001,,7.1,1411.9,7095.0
Ямало-Ненецкий автономный округ,2001,,6.1,503.1,78.0
Челябинская область,2001,,15.6,3621.4,7459.0
Республика Алтай,2001,,14.1,202.9,12.0
Республика Тыва,2001,,13.6,305.2,18.0
Республика Хакасия,2001,,15.5,549.5,277.0
Алтайский край,2001,,14.7,2621.1,998.0
Красноярский край,2001,,14.6,2981.8,3053.0
Иркутская область,2001,,15.8,2599.6,2479.0
Кемеровская область — Кузбасс,2001,,16.9,2917.8,4843.0
Новосибирская область,2001,,14.5,2703.0,1033.0
Омская область,2001,,13.6,2094.7,999.0
Томская область,2001,,13.4,1049.8,2545.0
Республика Бурятия,2001,,14,987.3,139.0
Республика Саха (Якутия),2001,,10.2,951.5,1199.0
Забайкальский край,2001,,15.3,1165.4,1099.0
Камчатский край,2001,,11.8,361.7,45.0
Приморский край,2001,,14.1,2085.7,2095.0
Хабаровский край,2001,,14.9,1446.1,1340.0
Амурская область,2001,,15.2,911.4,865.0
Магаданская область,2001,,12.2,187.2,752.0
Сахалинская область,2001,,14.7,552.2,285.0
Еврейская автономная область,2001,,14.7,191.9,11.0
Чукотский автономный округ,2001,,12.4,55.3,221.0
Белгородская область,2002,,16.2,1511.9,1589.0
Брянская область,2002,,19.2,1375.0,91.0
Владимирская область,2002,,20.8,1520.1,343.0
Воронежская область,2002,,18.9,2374.4,2943.0
Ивановская область,2002,,22,1144.5,212.0
Калужская область,2002,,18.8,1038.6,156.0
Костромская область,2002,,21.1,734.5,177.0
Курская область,2002,,19.3,1231.1,5043.0
Липецкая область,2002,,17.5,1211.0,2143.0
Московская область,2002,,17.9,6616.9,3233.0
Орловская область,2002,,18.6,858.3,390.0
Рязанская область,2002,,20.5,1223.7,2274.0
Смоленская область,2002,,21.6,1045.9,4572.0
Тамбовская область,2002,,19.8,1174.2,270.0
Тверская область,2002,,23.9,1465.6,2169.0
Тульская область,2002,,21.8,1669.8,2793.0
Ярославская область,2002,,20.5,1364.4,575.0
г. Москва,2002,,13.2,10386.9,6271.0
Республика Карелия,2002,,18.7,715.2,839.0
Республика Коми,2002,,14.9,1016.0,1387.0
Архангельская область,2002,,17.5,1332.7,731.0
Ненецкий автономный округ,2002,,13.1,41.7,0.77
Вологодская область,2002,,18.4,1266.9,3619.0
Калининградская область,2002,,17.3,954.1,171.0
Ленинградская область,2002,,20.4,1667.1,1301.0
Мурманская область,2002,,13.2,889.8,968.0
Новгородская область,2002,,22.3,692.1,552.0
Псковская область,2002,,23.8,758.1,15.0
г. Санкт-Петербург,2002,,16.4,4656.5,656.0
Республика Адыгея (Адыгея),2002,,15,446.8,30.0
Республика Калмыкия,2002,,12.3,291.8,0.78
Краснодарский край,2002,,15.7,5119.8,1026.0
Астраханская область,2002,,15.3,1004.8,314.0
Волгоградская область,2002,,15.9,2694.2,1706.0
Ростовская область,2002,,16.1,4396.7,2773.0
Республика Дагестан,2002,,6.2,2581.4,26.0
Республика Ингушетия,2002,,4.1,468.8,26.0
Кабардино-Балкарская Республика,2002,,10,901.1,24.0
Карачаево-Черкесская Республика,2002,,11.9,438.9,70.0
Республика Северная Осетия — Алания,2002,,12.3,709.7,37.0
Чеченская Республика,2002,,…,1105.4,0.0
Ставропольский край,2002,,14.6,2732.5,920.0
Республика Башкортостан,2002,,14.1,4102.3,4941.0
Республика Марий Эл,2002,,16.6,726.7,147.0
Республика Мордовия,2002,,16.7,886.1,277.0
Республика Татарстан (Татарстан),2002,,13.7,3777.7,4658.0
Удмуртская Республика,2002,,15.6,1568.2,400.0
Чувашская Республика — Чувашия,2002,,15.1,1311.7,455.0
Пермский край,2002,,18,2813.8,1847.0
Кировская область,2002,,19,1499.0,1075.0
Нижегородская область,2002,,19.3,3515.7,1703.0
Оренбургская область,2002,,15.1,2176.0,1843.0
Пензенская область,2002,,17.6,1449.2,82.0
Самарская область,2002,,16.3,3235.7,3935.0
Саратовская область,2002,,16.6,2663.5,6832.0
Ульяновская область,2002,,16.8,1378.9,796.0
Курганская область,2002,,17.7,1016.2,363.0
Свердловская область,2002,,17.1,4477.5,11856.0
Тюменская область,2002,,9.9,3269.9,8827.0
Ханты-Мансийский автономный округ — Югра,2002,,6.9,1437.7,7737.0
Ямало-Ненецкий автономный округ,2002,,5.8,508.6,85.0
Челябинская область,2002,,16.4,3597.7,7404.0
Республика Алтай,2002,,15.1,203.0,10.0
Республика Тыва,2002,,15,305.5,38.0
Республика Хакасия,2002,,17,545.2,278.0
Алтайский край,2002,,15.7,2602.6,983.0
Красноярский край,2002,,15.3,2961.9,3162.0
Иркутская область,2002,,16.5,2577.7,2456.0
Кемеровская область — Кузбасс,2002,,17.7,2893.4,4822.0
Новосибирская область,2002,,15.4,2688.5,1028.0
Омская область,2002,,14.6,2075.4,1014.0
Томская область,2002,,14.4,1045.5,2431.0
Республика Бурятия,2002,,14.6,979.6,140.0
Республика Саха (Якутия),2002,,10.2,948.6,1196.0
Забайкальский край,2002,,16.2,1152.6,1063.0
Камчатский край,2002,,11.5,357.9,52.0
Приморский край,2002,,14.9,2067.4,2269.0
Хабаровский край,2002,,15.6,1434.2,1298.0
Амурская область,2002,,16.1,901.0,875.0
Магаданская область,2002,,12.6,181.8,363.0
Сахалинская область,2002,,15,545.0,232.0
Еврейская автономная область,2002,,15.9,190.6,16.0
Чукотский автономный округ,2002,,11.3,53.2,194.0
Белгородская область,2003,,16.1,1513.9,1606.0
Брянская область,2003,,19.1,1360.2,106.0
Владимирская область,2003,,20.7,1509.6,324.0
Воронежская область,2003,,18.9,2367.4,3034.0
Ивановская область,2003,,22.1,1131.0,168.0
Калужская область,2003,,19,1031.7,142.0
Костромская область,2003,,21.7,723.1,184.0
Курская область,2003,,19.7,1213.4,5660.0
Липецкая область,2003,,18.4,1205.3,2039.0
Московская область,2003,,17.9,6671.3,3465.0
Орловская область,2003,,18.8,847.1,352.0
Рязанская область,2003,,21.2,1210.3,2344.0
Смоленская область,2003,,21.9,1039.1,5080.0
Тамбовская область,2003,,19.9,1161.9,259.0
Тверская область,2003,,24.1,1447.8,2154.0
Тульская область,2003,,22.6,1649.2,2798.0
Ярославская область,2003,,20.9,1347.1,603.0
г. Москва,2003,,13,10535.7,5940.0
Республика Карелия,2003,,19.9,702.8,846.0
Республика Коми,2003,,15.7,999.9,1367.0
Архангельская область,2003,,18,1315.5,686.0
Ненецкий автономный округ,2003,,14.1,41.9,1.59
Вологодская область,2003,,19.8,1255.9,3584.0
Калининградская область,2003,,18,947.9,174.0
Ленинградская область,2003,,21,1673.3,1304.0
Мурманская область,2003,,14,873.2,946.0
Новгородская область,2003,,23.5,682.9,549.0
Псковская область,2003,,24.9,746.8,12.0
г. Санкт-Петербург,2003,,16.7,4662.0,707.0
Республика Адыгея (Адыгея),2003,,15.5,444.8,30.0
Республика Калмыкия,2003,,11.8,292.2,0.93
Краснодарский край,2003,,15.7,5114.9,1096.0
Астраханская область,2003,,15.5,1006.1,313.0
Волгоградская область,2003,,16.1,2672.4,1768.0
Ростовская область,2003,,16.3,4375.5,2161.0
Республика Дагестан,2003,,6.1,2617.5,24.0
Республика Ингушетия,2003,,3.9,451.9,26.0
Кабардино-Балкарская Республика,2003,,10.3,889.6,22.0
Карачаево-Черкесская Республика,2003,,12.3,444.4,74.0
Республика Северная Осетия — Алания,2003,,12.6,707.7,42.0
Чеченская Республика,2003,,6.5,1116.9,0.0
Ставропольский край,2003,,14.9,2739.1,935.0
Республика Башкортостан,2003,,14.2,4094.2,4896.0
Республика Марий Эл,2003,,16.4,722.7,143.0
Республика Мордовия,2003,,17.2,878.3,278.0
Республика Татарстан (Татарстан),2003,,13.8,3773.1,4945.0
Удмуртская Республика,2003,,15.7,1561.1,397.0
Чувашская Республика — Чувашия,2003,,15.3,1301.6,455.0
Пермский край,2003,,18.3,2783.0,1952.0
Кировская область,2003,,19.6,1472.5,1136.0
Нижегородская область,2003,,20,3481.1,1677.0
Оренбургская область,2003,,15.3,2149.9,1820.0
Пензенская область,2003,,17.9,1440.0,83.0
Самарская область,2003,,16.4,3229.2,4097.0
Саратовская область,2003,,17,2639.5,6681.0
Ульяновская область,2003,,17.2,1366.9,855.0
Курганская область,2003,,18.1,999.4,397.0
Свердловская область,2003,,17.3,4434.2,12244.0
Тюменская область,2003,,9.9,3281.7,9279.0
Ханты-Мансийский автономный округ — Югра,2003,,6.9,1453.5,8115.0
Ямало-Ненецкий автономный округ,2003,,6.1,510.8,90.0
Челябинская область,2003,,16.6,3569.3,7677.0
Республика Алтай,2003,,15.6,202.5,10.0
Республика Тыва,2003,,15.2,305.0,30.0
Республика Хакасия,2003,,17.8,541.4,323.0
Алтайский край,2003,,15.9,2572.0,984.0
Красноярский край,2003,,15.8,2931.9,3190.0
Иркутская область,2003,,16.9,2552.3,2476.0
Кемеровская область — Кузбасс,2003,,18.4,2862.1,4653.0
