,Регион,Год,V_сточ_вод_млн_м3,Коэф_смерт_насел,Числ_насел,Оборот_вод_млн_м3,Инвест_в_ООС_норм
172,Волгоградская область,2004,208.0,15.4,2656.2,1760.0,5.236562421236029
173,Волгоградская область,2005,204.0,15.7,2640.4,1866.0,4.084539753050944
174,Волгоградская область,2006,217.0,15.2,2630.0,1806.0,7.317312775662352
175,Волгоградская область,2007,203.0,14.6,2623.1,1760.0,4.906961757475432
176,Волгоградская область,2008,218.0,14.4,2618.1,1716.0,5.375720129548321
177,Волгоградская область,2009,200.0,14.4,2614.1,1567.0,2.077839170595657
178,Волгоградская область,2010,186.0,14.7,2607.5,1503.0,3.04433694593236
179,Волгоградская область,2011,150.0,13.8,2598.6,1600.0,3.475834489991116
180,Волгоградская область,2012,144.43,13.6,2590.7,1564.44,2.169147990756516
181,Волгоградская область,2013,141.2,13.4,2580.7,1417.86,5.372520750743821
182,Волгоградская область,2014,122.62,13.6,2572.9,1433.46,24.09746807982448
183,Волгоградская область,2015,104.21,13.7,2565.4,1376.66,26.761100562084547
184,Волгоградская область,2016,104.7,13.6,2558.5,1340.13,14.54376034491843
185,Волгоградская область,2017,89.2,13.0,2548.5,1286.81,4.604281236515213
186,Волгоградская область,2018,84.29,13.2,2538.7,1347.17,6.34868152665029
187,Волгоградская область,2019,85.25,12.9,2526.2,1341.67,9.163016042949524
188,Волгоградская область,2020,91.69,15.6,2513.6,1334.15,11.568055565073283
189,Волгоградская область,2021,89.21,18.6,2492.8,1302.08,2.7218688218830436
190,Волгоградская область,2022,85.92,13.7,2470.1,1308.96,3.3098080791489526
191,Волгоградская область,2023,203.0,12.8,2453.9,6122.0,3.4781916487079356
192,Вологодская область,2000,241.0,16,1290.4,3655.0,4.73586288125673
193,Вологодская область,2001,240.0,17.4,1278.5,3610.0,3.5074657663014155
194,Вологодская область,2002,231.0,18.4,1266.9,3619.0,9.468283293221143
195,Вологодская область,2003,205.0,19.8,1255.9,3584.0,24.827348188565487
196,Вологодская область,2004,195.0,19.1,1245.8,3650.0,25.68070363728524
197,Вологодская область,2005,172.0,18.8,1234.9,3614.0,39.447676681646946
198,Вологодская область,2006,167.0,17.1,1225.8,3641.0,11.877137772161126
199,Вологодская область,2007,156.0,16,1219.8,3721.0,11.302317821056704
200,Вологодская область,2008,146.0,16.4,1214.2,3655.0,10.72161578049017
