,Регион,Год,Объем_сточных_вод_млн_м3,Инвестиции_в_ООС_тыс_руб,ВРП_млн_руб
274,Мурманская область,2003,339.0,861546.0,80604.1
275,Новгородская область,2003,81.0,134152.0,38081.7
276,Псковская область,2003,73.0,43958.2,29488.4
277,г. Санкт-Петербург,2003,1203.0,3236043.2,409638.5
278,Республика Адыгея (Адыгея),2003,24.0,138486.0,9849.3
279,Республика Калмыкия,2003,43.0,32977.4,6539.5
280,Краснодарский край,2003,1252.0,291087.0,248565.5
281,Астраханская область,2003,71.0,313248.0,50659.8
282,Волгоградская область,2003,201.0,302695.0,128622.2
283,Ростовская область,2003,337.0,1114020.0,171849.0
284,Республика Дагестан,2003,80.0,26732.0,57626.7
285,Республика Ингушетия,2003,1.44,0.0,4756.6
286,Кабардино-Балкарская Республика,2003,52.0,208209.0,25997.4
287,Карачаево-Черкесская Республика,2003,57.0,2794.0,11481.1
288,Республика Северная Осетия — Алания,2003,97.0,109958.0,18925.2
290,Ставропольский край,2003,222.0,572217.0,101382.6
291,Республика Башкортостан,2003,408.0,3238644.3999999994,242920.5
292,Республика Марий Эл,2003,66.0,81907.0,22987.3
293,Республика Мордовия,2003,56.0,170084.0,33244.0
294,Республика Татарстан (Татарстан),2003,534.0,997916.2000000001,305086.1
295,Удмуртская Республика,2003,26.0,160197.4,89034.5
296,Чувашская Республика — Чувашия,2003,126.0,330051.6,45133.1
297,Пермский край,2003,380.0,3779882.0,209275.7
298,Кировская область,2003,171.0,107011.0,57795.8
299,Нижегородская область,2003,461.0,1006467.4,206926.0
300,Оренбургская область,2003,152.0,452556.19999999995,115824.6
301,Пензенская область,2003,143.0,43725.0,48111.5
302,Самарская область,2003,489.0,752975.8,256554.6
303,Саратовская область,2003,270.0,175817.0,119909.0
304,Ульяновская область,2003,109.0,346049.6,55184.3
305,Курганская область,2003,57.0,130911.0,37046.2
306,Свердловская область,2003,869.0,2120831.8,284576.3
307,Ханты-Мансийский автономный округ — Югра,2003,38.0,7910412.0,717219.7
308,Ямало-Ненецкий автономный округ,2003,32.0,2338938.0,283181.2
309,Тюменская область,2003,72.0,10447297.0,117113.49999999994
310,Челябинская область,2003,721.0,2152344.88,220185.2
311,Республика Алтай,2003,0.67,0.0,6903.9
312,Республика Тыва,2003,9.0,9600.0,8121.2
313,Республика Хакасия,2003,57.0,56227.0,28969.2
314,Алтайский край,2003,36.0,50114.0,88733.3
315,Красноярский край,2003,578.0,5122820.8,272727.0
316,Иркутская область,2003,823.0,1532329.8,167927.1
317,Кемеровская область — Кузбасс,2003,718.0,406864.0,164903.1
318,Новосибирская область,2003,79.0,481492.1,153798.9
319,Омская область,2003,223.0,567601.2,115029.5
320,Томская область,2003,18.0,775490.3,97084.3
321,Республика Бурятия,2003,67.0,147885.8,52253.7
322,Республика Саха (Якутия),2003,87.0,3370527.6,132964.1
323,Забайкальский край,2003,75.0,230283.36,53145.5
324,Камчатский край,2003,35.0,939256.8,29747.0
325,Приморский край,2003,389.0,354072.6,119333.7
326,Хабаровский край,2003,221.0,399762.0,116318.1
327,Амурская область,2003,91.0,284708.0,53199.9
328,Магаданская область,2003,40.0,99156.0,24325.9
329,Сахалинская область,2003,52.0,77579.0,63139.2
330,Еврейская автономная область,2003,12.0,55096.0,8564.6
331,Чукотский автономный округ,2003,4.44,0.0,13501.1
332,Белгородская область,2004,11.0,174379.0,114409.3
333,Брянская область,2004,92.0,22584.0,51003.4
334,Владимирская область,2004,169.0,28633.0,74207.0
335,Воронежская область,2004,168.0,80233.0,117197.6
336,Ивановская область,2004,152.0,50318.0,40159.4
337,Калужская область,2004,105.0,511885.0,57993.8
338,Костромская область,2004,65.0,767648.0,37787.4
339,Курская область,2004,35.0,27588.0,76506.1
340,Липецкая область,2004,125.0,1103890.0,141778.3
341,Московская область,2004,643.0,436600.0,535204.4
342,Орловская область,2004,78.0,4832.0,46042.3
343,Рязанская область,2004,19.0,162959.0,69996.0
344,Смоленская область,2004,94.0,76919.0,56113.9
345,Тамбовская область,2004,61.0,201554.0,56775.0
346,Тверская область,2004,77.0,296249.0,88081.5
347,Тульская область,2004,261.0,207821.0,88119.6
348,Ярославская область,2004,303.0,1089658.0,112438.7
349,г. Москва,2004,2012.0,4938621.0,2853272.4
350,Республика Карелия,2004,209.0,422086.0,53964.1
351,Республика Коми,2004,136.0,856491.0,131588.0
352,Ненецкий автономный округ,2004,1.19,269486.0,39586.7
353,Архангельская область,2004,454.0,891153.0,102978.00000000001
354,Вологодская область,2004,195.0,4144316.0,161378.6
355,Калининградская область,2004,147.0,419949.0,66552.1
356,Ленинградская область,2004,383.0,5656959.0,166445.0
357,Мурманская область,2004,374.0,711671.0,124972.0
358,Новгородская область,2004,81.0,132978.0,49242.3
359,Псковская область,2004,69.0,14932.0,35816.0
360,г. Санкт-Петербург,2004,1182.0,5360112.0,542359.2
361,Республика Адыгея (Адыгея),2004,24.0,16290.0,12493.2
362,Республика Калмыкия,2004,37.0,63408.0,8518.5
363,Краснодарский край,2004,1226.0,397198.0,313623.6
364,Астраханская область,2004,71.0,286579.0,56710.9
365,Волгоградская область,2004,208.0,808199.0,154337.7
366,Ростовская область,2004,318.0,1594833.0,221167.4
367,Республика Дагестан,2004,79.0,134824.0,80712.4
